Company,TypeName,Inches,Price,Ram(GB),Weight(kg),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,X_res,Y_res,TouchScreen,Ips_display,OS,PPI,Resolution
HP,Notebook,15.6,9.83063294843456,4,2.1,AMD,AMD,0,500,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.447907320733034,8,2.2,Intel Core i5,AMD,0,1000,1920,1080,0,0,Linux,141.21199808219862,1920x1080
HP,Ultrabook,13.3,10.99575173454406,8,1.38,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Microsoft,Ultrabook,13.5,11.17598591917709,8,1.252,Intel Core i5,Intel,256,0,2256,1504,1,0,Windows,200.84255993695703,2256x1504
HP,Notebook,14.0,10.46628456073464,6,1.58,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
Lenovo,Notebook,15.6,10.003598553570956,4,1.85,Intel Core i3,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Ultrabook,14.0,11.05978744833005,8,1.3,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
MSI,Gaming,15.6,11.144911042902732,16,2.2,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,14.0,11.275358392990295,8,1.58,Intel Core i7,Intel,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
Asus,Ultrabook,15.6,11.116014069333293,16,1.5,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Ultrabook,13.3,11.204674904025437,8,1.23,Intel Core i7,Intel,256,0,3200,1800,1,0,Windows,276.053530085501,3200x1800
Lenovo,2 in 1 Convertible,13.3,11.219074000897615,8,1.37,Intel Core i5,Intel,256,0,1920,1080,1,1,Windows,165.6321180513006,1920x1080
HP,Notebook,14.0,10.55758616512496,4,1.63,Intel Core i5,Intel,0,500,1366,768,0,1,Windows,111.93520355955212,1366x768
Dell,Ultrabook,13.3,11.37128263483418,8,1.21,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
HP,2 in 1 Convertible,13.3,11.219066852909238,8,1.26,Intel Core i5,Intel,256,0,1920,1080,1,1,Windows,165.6321180513006,1920x1080
HP,Notebook,14.0,10.963974208231726,8,1.63,Intel Core i7,Intel,512,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Dell,Notebook,15.6,11.005825930702713,8,2.16,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Asus,Notebook,17.3,10.310615277730191,4,2.0,Intel Core i3,Nvidia,0,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Asus,Notebook,15.6,10.994857679947176,8,1.7,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.147261623643049,6,2.1,Intel Core i3,Intel,0,1000,1920,1080,1,1,Windows,141.21199808219862,1920x1080
MSI,Gaming,15.6,11.690461589827628,16,1.8,Intel Core i7,Nvidia,256,2000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.419692282932576,8,2.2,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Other,141.21199808219862,1920x1080
HP,Notebook,17.3,11.123120297421588,16,2.5,Intel Core i7,Nvidia,512,0,1920,1080,0,0,Windows,127.33567457123112,1920x1080
